0 [7.92562e-05;7.92562e-05]
1 [4.01916e-05;4.01916e-05]
2 [1.34771e-05;1.34771e-05]
3 [-0.000337936;-0.000337936]
4 [2.55774e-06;2.55774e-06]
5 [2.84498e-05;2.84498e-05]
6 [5.19626e-05;5.19626e-05]
7 [7.78358e-05;7.78358e-05]
8 [5.9736e-05;5.9736e-05]
9 [9.61757e-05;9.61757e-05]
10 [9.7631e-05;9.7631e-05]
11 [4.51304e-05;4.51304e-05]
12 [3.35286e-05;3.35286e-05]
13 [4.24356e-05;4.24356e-05]
14 [2.91481e-05;2.91481e-05]
15 [9.34293e-05;9.34293e-05]
16 [6.61984e-05;6.61984e-05]
17 [9.82539e-05;9.82539e-05]
18 [6.76521e-05;6.76521e-05]
19 [4.9854e-05;4.9854e-05]
20 [1.02517e-05;1.02517e-05]
21 [8.61401e-05;8.61401e-05]
22 [6.26452e-05;6.26452e-05]
23 [9.42198e-05;9.42198e-05]
24 [4.35669e-05;4.35669e-05]
25 [3.29256e-05;3.29256e-05]
26 [6.3355e-05;6.3355e-05]
27 [7.19512e-05;7.19512e-05]
28 [3.24022e-05;3.24022e-05]
29 [9.39033e-05;9.39033e-05]
30 [9.04223e-05;9.04223e-05]
31 [8.96477e-05;8.96477e-05]
32 [2.81181e-05;2.81181e-05]
33 [8.47979e-05;8.47979e-05]
34 [8.77943e-05;8.77943e-05]
35 [9.55379e-05;9.55379e-05]
36 [7.67328e-05;7.67328e-05]
37 [5.3213e-05;5.3213e-05]
38 [9.15859e-05;9.15859e-05]
39 [4.44572e-05;4.44572e-05]
40 [7.2741e-05;7.2741e-05]
41 [7.02833e-05;7.02833e-05]
42 [8.66544e-05;8.66544e-05]
43 [8.3773e-05;8.3773e-05]
44 [9.50197e-05;9.50197e-05]
45 [8.12489e-06;8.12489e-06]
46 [9.38785e-05;9.38785e-05]
47 [9.7962e-05;9.7962e-05]
48 [4.24287e-05;4.24287e-05]
49 [5.88059e-05;5.88059e-05]
50 [5.85171e-05;5.85171e-05]
51 [6.15793e-05;6.15793e-05]
52 [9.70424e-05;9.70424e-05]
53 [9.70451e-05;9.70451e-05]
54 [5.85848e-05;5.85848e-05]
55 [4.54694e-05;4.54694e-05]
56 [9.18636e-05;9.18636e-05]
57 [1.5509e-05;1.5509e-05]
58 [3.25002e-05;3.25002e-05]
59 [8.61124e-05;8.61124e-05]
60 [9.12797e-05;9.12797e-05]
61 [7.96964e-05;7.96964e-05]
62 [9.95652e-05;9.95652e-05]
63 [9.86557e-05;9.86557e-05]
64 [1.71994e-06;1.71994e-06]
65 [1.44538e-05;1.44538e-05]
66 [1.19685e-05;1.19685e-05]
67 [9.97859e-05;9.97859e-05]
68 [3.86866e-06;3.86866e-06]
69 [8.67832e-05;8.67832e-05]
70 [7.68005e-05;7.68005e-05]
71 [8.20219e-05;8.20219e-05]
72 [1.19962e-05;1.19962e-05]
73 [8.74498e-05;8.74498e-05]
74 [7.25382e-05;7.25382e-05]
75 [9.2296e-05;9.2296e-05]
76 [6.16268e-05;6.16268e-05]
77 [7.71139e-05;7.71139e-05]
78 [2.60602e-05;2.60602e-05]
79 [2.41094e-05;2.41094e-05]
80 [5.0484e-05;5.0484e-05]
81 [6.8914e-06;6.8914e-06]
82 [3.7029e-05;3.7029e-05]
83 [9.57357e-05;9.57357e-05]
84 [9.99255e-05;9.99255e-05]
85 [8.25112e-05;8.25112e-05]
86 [4.86154e-06;4.86154e-06]
87 [9.97072e-05;9.97072e-05]
88 [9.19209e-05;9.19209e-05]
89 [9.91601e-05;9.91601e-05]
90 [9.48702e-05;9.48702e-05]
91 [3.3203e-06;3.3203e-06]
92 [2.26695e-05;2.26695e-05]
93 [5.4149e-05;5.4149e-05]
94 [8.36701e-05;8.36701e-05]
95 [9.98212e-05;9.98212e-05]
96 [8.59799e-05;8.59799e-05]
97 [5.24605e-05;5.24605e-05]
98 [7.53644e-05;7.53644e-05]
99 [9.19532e-05;9.19532e-05]
100 [9.0171e-05;9.0171e-05]
101 [9.16988e-06;9.16988e-06]
102 [9.35543e-05;9.35543e-05]
103 [7.63967e-05;7.63967e-05]
104 [7.01629e-05;7.01629e-05]
105 [1.82102e-05;1.82102e-05]
106 [8.64927e-05;8.64927e-05]
107 [8.50775e-05;8.50775e-05]
108 [9.96111e-05;9.96111e-05]
109 [2.05035e-05;2.05035e-05]
110 [9.15131e-05;9.15131e-05]
111 [4.55493e-05;4.55493e-05]
112 [9.10889e-05;9.10889e-05]
113 [4.25923e-05;4.25923e-05]
114 [3.82442e-05;3.82442e-05]
115 [7.74047e-05;7.74047e-05]
116 [7.7002e-05;7.7002e-05]
117 [9.45623e-05;9.45623e-05]
118 [9.74624e-05;9.74624e-05]
119 [9.33253e-05;9.33253e-05]
120 [5.65642e-05;5.65642e-05]
121 [8.78046e-05;8.78046e-05]
122 [1.37797e-05;1.37797e-05]
123 [3.10023e-05;3.10023e-05]
124 [9.76412e-05;9.76412e-05]
125 [9.38377e-05;9.38377e-05]
126 [9.5637e-05;9.5637e-05]
127 [2.13569e-05;2.13569e-05]
128 [9.37401e-07;9.37401e-07]
129 [7.90111e-05;7.90111e-05]
130 [8.9755e-05;8.9755e-05]
131 [2.62407e-05;2.62407e-05]
132 [9.63226e-05;9.63226e-05]
133 [9.58132e-05;9.58132e-05]
134 [2.01959e-05;2.01959e-05]
135 [9.44514e-05;9.44514e-05]
136 [9.57883e-06;9.57883e-06]
137 [9.29261e-05;9.29261e-05]
138 [4.82431e-05;4.82431e-05]
139 [8.6391e-05;8.6391e-05]
140 [4.73416e-06;4.73416e-06]
141 [9.75009e-05;9.75009e-05]
142 [8.18851e-05;8.18851e-05]
143 [9.56048e-05;9.56048e-05]
144 [2.40871e-05;2.40871e-05]
145 [5.80029e-06;5.80029e-06]
146 [7.06411e-05;7.06411e-05]
147 [4.87828e-05;4.87828e-05]
148 [4.55037e-05;4.55037e-05]
149 [6.61131e-05;6.61131e-05]
150 [5.2664e-05;5.2664e-05]
151 [7.38734e-05;7.38734e-05]
152 [5.87971e-05;5.87971e-05]
153 [8.65143e-05;8.65143e-05]
154 [9.82249e-05;9.82249e-05]
155 [9.93212e-05;9.93212e-05]
156 [3.84973e-05;3.84973e-05]
157 [2.542e-05;2.542e-05]
158 [5.99319e-05;5.99319e-05]
159 [8.65787e-05;8.65787e-05]
160 [2.73419e-05;2.73419e-05]
161 [1.7322e-06;1.7322e-06]
162 [4.41609e-05;4.41609e-05]
163 [6.76696e-05;6.76696e-05]
164 [6.3557e-05;6.3557e-05]
165 [6.72599e-05;6.72599e-05]
166 [8.76629e-05;8.76629e-05]
167 [6.55571e-05;6.55571e-05]
168 [7.48479e-05;7.48479e-05]
169 [2.15958e-05;2.15958e-05]
170 [4.51426e-05;4.51426e-05]
171 [4.9443e-05;4.9443e-05]
172 [1.66104e-05;1.66104e-05]
173 [9.76031e-05;9.76031e-05]
174 [3.57238e-05;3.57238e-05]
175 [2.36209e-05;2.36209e-05]
176 [9.97849e-05;9.97849e-05]
177 [8.56541e-05;8.56541e-05]
178 [9.79178e-05;9.79178e-05]
179 [9.91137e-05;9.91137e-05]
180 [3.51314e-05;3.51314e-05]
181 [5.40305e-05;5.40305e-05]
182 [3.48597e-05;3.48597e-05]
183 [4.95025e-05;4.95025e-05]
184 [8.94801e-05;8.94801e-05]
185 [6.29394e-05;6.29394e-05]
186 [3.88855e-05;3.88855e-05]
187 [5.61929e-05;5.61929e-05]
188 [9.44048e-05;9.44048e-05]
189 [3.08933e-05;3.08933e-05]
190 [9.60694e-05;9.60694e-05]
191 [8.93594e-05;8.93594e-05]
192 [1.92472e-05;1.92472e-05]
193 [9.34455e-05;9.34455e-05]
194 [7.26123e-05;7.26123e-05]
195 [8.71924e-05;8.71924e-05]
196 [9.62727e-05;9.62727e-05]
197 [8.62378e-05;8.62378e-05]
198 [3.66254e-05;3.66254e-05]
199 [5.90636e-05;5.90636e-05]
200 [7.24325e-05;7.24325e-05]
201 [8.89253e-05;8.89253e-05]
202 [1.03005e-07;1.03005e-07]
203 [9.4504e-05;9.4504e-05]
204 [1.48782e-05;1.48782e-05]
205 [9.74388e-05;9.74388e-05]
206 [7.89022e-05;7.89022e-05]
207 [3.49785e-06;3.49785e-06]
208 [8.88472e-05;8.88472e-05]
209 [6.51184e-05;6.51184e-05]
210 [1.66456e-05;1.66456e-05]
211 [9.1713e-05;9.1713e-05]
212 [5.60365e-05;5.60365e-05]
213 [9.40621e-05;9.40621e-05]
214 [2.06948e-05;2.06948e-05]
215 [9.299e-05;9.299e-05]
216 [9.5423e-05;9.5423e-05]
217 [1.64929e-05;1.64929e-05]
218 [9.98534e-05;9.98534e-05]
219 [8.24569e-05;8.24569e-05]
220 [9.824e-05;9.824e-05]
221 [7.37522e-05;7.37522e-05]
222 [4.37171e-05;4.37171e-05]
223 [8.8815e-05;8.8815e-05]
224 [5.27654e-05;5.27654e-05]
225 [9.36027e-05;9.36027e-05]
226 [7.39687e-05;7.39687e-05]
227 [4.16375e-05;4.16375e-05]
228 [9.82466e-05;9.82466e-05]
229 [2.27763e-05;2.27763e-05]
230 [9.21946e-05;9.21946e-05]
231 [9.43957e-05;9.43957e-05]
232 [4.30483e-06;4.30483e-06]
233 [1.78991e-05;1.78991e-05]
234 [9.22304e-05;9.22304e-05]
235 [2.43535e-05;2.43535e-05]
236 [2.91882e-05;2.91882e-05]
237 [8.12876e-06;8.12876e-06]
238 [9.64138e-05;9.64138e-05]
239 [9.17107e-06;9.17107e-06]
240 [9.24238e-06;9.24238e-06]
241 [9.71926e-05;9.71926e-05]
242 [4.79798e-05;4.79798e-05]
243 [4.006e-06;4.006e-06]
244 [9.61469e-05;9.61469e-05]
245 [6.19533e-05;6.19533e-05]
246 [8.86952e-05;8.86952e-05]
247 [8.18613e-05;8.18613e-05]
248 [9.10417e-05;9.10417e-05]
249 [5.12707e-05;5.12707e-05]
250 [8.79755e-05;8.79755e-05]
251 [1.72083e-05;1.72083e-05]
252 [9.6638e-05;9.6638e-05]
253 [2.44071e-05;2.44071e-05]
254 [7.47179e-05;7.47179e-05]
255 [9.59007e-05;9.59007e-05]
256 [6.08251e-05;6.08251e-05]
